t/Ri ,a/t,G0 inside,G1 inside,G2 inside,G3 inside,G4 inside,G0 outside,G1 outside,G2 outside,G3 outside,G4outside
0.001,0,1.12,0.682,0.5245,0.4404,0.379075,1.12,0.682,0.5245,0.4404,0.379075
0.001,0.2,1.322217,0.749276,0.557422,0.459379,0.392453,1.322614,0.749276,0.557516,0.459436,0.392373
0.001,0.4,1.985705,0.991993,0.684695,0.537194,0.453928,1.988345,0.992918,0.68527,0.537439,0.45414
0.001,0.6,3.550561,1.553001,0.979529,0.719751,0.589763,3.554007,1.554127,0.980154,0.720115,0.589975
0.001,0.8,7.704234,2.997325,1.722909,1.174144,0.914488,7.714443,3.000386,1.724431,1.175261,0.914895
0.00333,0,1.12,0.682,0.5245,0.4404,0.379075,1.12,0.682,0.5245,0.4404,0.379075
0.00333,0.2,1.326772,0.756593,0.563926,0.464829,0.397395,1.327958,0.75694,0.564112,0.464942,0.397435
0.00333,0.4,1.963785,0.994898,0.692884,0.546635,0.460636,1.967788,0.996347,0.69383,0.547114,0.460995
0.00333,0.6,3.332548,1.491534,0.957864,0.713772,0.584192,3.340673,1.493877,0.95905,0.714507,0.584442
0.00333,0.8,6.166579,2.493763,1.483156,1.041092,0.819169,6.185694,2.499017,1.485806,1.042477,0.81955
0.01,0,1.12,0.682,0.5245,0.4404,0.379075,1.12,0.682,0.5245,0.4404,0.379075
0.01,0.2,1.328921,0.764758,0.572095,0.471607,0.403497,1.332125,0.754093,0.552893,0.446495,0.394324
0.01,0.4,1.899528,0.981795,0.692586,0.550532,0.463005,1.908312,0.97225,0.672981,0.524206,0.453612
0.01,0.6,3.004384,1.379555,0.898565,0.673759,0.560242,3.023794,1.392928,0.914706,0.693364,0.567059
0.01,0.8,4.812997,2.042848,1.263627,0.915957,0.729154,4.859478,2.057938,1.271054,0.920244,0.73193
0.01667,0,1.12,0.682,0.5245,0.4404,0.379075,1.12,0.682,0.5245,0.4404,0.379075
0.01667,0.2,1.318924,0.760855,0.569883,0.470144,0.402374,1.32419,0.750929,0.551104,0.445314,0.39338
0.01667,0.4,1.848413,0.962422,0.681854,0.543524,0.45773,1.862482,0.954704,0.663258,0.517887,0.448742
0.01667,0.6,2.813119,1.309799,0.861033,0.649812,0.54269,2.842912,1.32636,0.878647,0.670199,0.549981
0.01667,0.8,4.237503,1.84173,1.158696,0.850454,0.683358,4.29851,1.860923,1.167928,0.855764,0.686511
0.025,0,1.12,0.682,0.5245,0.4404,0.379075,1.12,0.682,0.5245,0.4404,0.379075
0.025,0.2,1.308916,0.756949,0.567677,0.468679,0.401251,1.316699,0.747945,0.549407,0.444194,0.392491
0.025,0.4,1.800221,0.944166,0.671752,0.536926,0.452764,1.820527,0.938621,0.654343,0.512094,0.444266
0.025,0.6,2.649761,1.250285,0.829036,0.629406,0.527751,2.691258,1.270496,0.848362,0.650736,0.53562
0.025,0.8,3.822034,1.696662,1.083009,0.803222,0.650398,3.900213,1.7209,1.0946,0.809896,0.654152
0.05,0,1.12,0.682,0.5245,0.4404,0.379075,1.12,0.682,0.5245,0.4404,0.379075
0.05,0.2,1.286308,0.748129,0.562711,0.465393,0.398716,1.301318,0.74179,0.545907,0.441883,0.390643
0.05,0.4,1.700591,0.906527,0.650941,0.523329,0.442578,1.738126,0.906946,0.636767,0.500662,0.435407
0.05,0.6,2.354964,1.143036,0.771413,0.592683,0.500911,2.426798,1.172917,0.79541,0.616676,0.510449
0.05,0.8,3.202288,1.480478,0.970278,0.732879,0.601399,3.326522,1.518951,0.988743,0.74364,0.607331
0.1,0,1.12,0.682,0.5245,0.4404,0.379075,1.12,0.682,0.5245,0.4404,0.379075
0.1,0.2,1.254559,0.735816,0.555784,0.46081,0.395216,1.28301,0.734415,0.541694,0.439092,0.388405
0.1,0.4,1.578769,0.860586,0.625575,0.506771,0.43019,1.646171,0.871503,0.617078,0.48785,0.425443
0.1,0.6,2.054427,1.033913,0.712856,0.555383,0.47372,2.176175,1.080225,0.74504,0.584239,0.48642
0.1,0.8,2.691796,1.302652,0.877596,0.675063,0.561238,2.89526,1.36673,0.908821,0.693565,0.571807
0.2,0,1.12,0.682,0.5245,0.4404,0.379075,1.12,0.682,0.5245,0.4404,0.379075
0.2,0.2,1.210829,0.718943,0.546312,0.454558,0.390464,1.263202,0.726351,0.537074,0.436025,0.385915
0.2,0.4,1.437161,0.807345,0.596196,0.487609,0.415918,1.55417,0.835957,0.597311,0.474989,0.415406
0.2,0.6,1.764286,0.928708,0.656426,0.519455,0.447584,1.966243,1.002411,0.702694,0.556948,0.466155
0.2,0.8,2.272892,1.156841,0.801593,0.627635,0.528369,2.610699,1.26587,0.855722,0.660227,0.548031
0.3333,0,1.12,0.682,0.5245,0.4404,0.379075,1.12,0.682,0.5245,0.4404,0.379075
0.3333,0.2,1.16954,0.703965,0.537405,0.44908,0.386008,1.249224,0.720455,0.534174,0.434006,0.384331
0.3333,0.4,1.324079,0.764679,0.572698,0.472643,0.40451,1.49505,0.812809,0.584087,0.468236,0.408711
0.3333,0.6,1.56499,0.856347,0.617396,0.494415,0.429555,1.853386,0.960784,0.679981,0.542489,0.455252
0.3333,0.8,2.009679,1.065372,0.754056,0.598012,0.507836,2.500104,1.226225,0.834688,0.646925,0.538501
1,0,1.12,0.682,0.5245,0.4404,0.379075,1.12,0.682,0.5245,0.4404,0.379075
1,0.2,1.053169,0.658654,0.512669,0.432896,0.381216,1.232641,0.721461,0.541745,0.447374,0.388116
1,0.4,1.080814,0.673665,0.522499,0.439965,0.386602,1.429329,0.798668,0.58617,0.477522,0.410543
1,0.6,1.201595,0.73135,0.558621,0.465436,0.405841,1.779101,0.933472,0.662679,0.528892,0.448432
1,0.8,1.550424,0.905894,0.671003,0.546215,0.467733,2.592796,1.258791,0.852381,0.658939,0.545948
1.5,0,1.12,0.682,0.5245,0.4404,0.379075,0,0,0,0,0
1.5,0.2,0.999928,0.638332,0.501321,0.425408,0.375779,0,0,0,0,0
1.5,0.4,0.996737,0.641858,0.504882,0.42844,0.378318,0,0,0,0,0
1.5,0.6,1.092646,0.691085,0.536679,0.451259,0.395752,0,0,0,0,0
1.5,0.8,1.412219,0.856801,0.645041,0.529834,0.456303,0,0,0,0,0
2,0,1.12,0.682,0.5245,0.4404,0.379075,0,0,0,0,0
2,0.2,0.960303,0.623235,0.492914,0.419883,0.37179,0,0,0,0,0
2,0.4,0.942151,0.621145,0.493395,0.420925,0.372918,0,0,0,0,0
2,0.6,1.025808,0.666248,0.523105,0.442473,0.389494,0,0,0,0,0
2,0.8,1.327371,0.826514,0.628977,0.519682,0.44921,0,0,0,0,0
2.5,0,1.12,0.682,0.5245,0.4404,0.379075,0,0,0,0,0
2.5,0.2,0.929166,0.611376,0.486316,0.415552,0.36867,0,0,0,0,0
2.5,0.4,0.903373,0.606393,0.485205,0.415563,0.369067,0,0,0,0,0
2.5,0.6,0.980169,0.649222,0.513779,0.43643,0.385187,0,0,0,0,0
2.5,0.8,1.269478,0.805781,0.617961,0.51271,0.444336,0,0,0,0,0
3,0,1.12,0.682,0.5245,0.4404,0.379075,0,0,0,0,0
3,0.2,0.903861,0.601739,0.480956,0.412036,0.366139,0,0,0,0,0
3,0.4,0.874241,0.595289,0.479035,0.411523,0.366163,0,0,0,0,0
3,0.6,0.94689,0.636771,0.50695,0.432,0.382028,0,0,0,0,0
3,0.8,1.227317,0.790649,0.60991,0.507612,0.44077,0,0,0,0,0
